sim_file,slope,r2,entropy_words,entropy_chars,autocorr_lag1,hurst,model,sim
char_shuffle_sim_001.txt,-1.1837477708295001,0.9916940435619008,9.324818298341716,4.735380758736788,0.46202369120631553,0.8811357746958857,char_shuffle,1
char_shuffle_sim_002.txt,-1.1779403254898972,0.9924304580741186,9.319812993361696,4.739599489584023,0.47331100963798817,0.8852769793389023,char_shuffle,2
char_shuffle_sim_003.txt,-1.1875372275853548,0.992339048682644,9.314209084184832,4.734708360181543,0.46858887297715957,0.8838831626259892,char_shuffle,3
char_shuffle_sim_004.txt,-1.189752032183584,0.9917509649895508,9.316033860819887,4.735788396632668,0.4723462226706739,0.8825253028069124,char_shuffle,4
char_shuffle_sim_005.txt,-1.1871927739503845,0.9918731955676982,9.305506163202308,4.738454817692894,0.47288660481469186,0.8847296806466476,char_shuffle,5
char_shuffle_sim_006.txt,-1.1783282937369464,0.9919337592996234,9.336642585330557,4.738676945429829,0.4729175445589654,0.8849140473087,char_shuffle,6
char_shuffle_sim_007.txt,-1.1601199481657458,0.9920834898635221,9.321742983271117,4.732284167204541,0.47100098710514215,0.8846170649087144,char_shuffle,7
char_shuffle_sim_008.txt,-1.1915768227372336,0.9914955983667312,9.304598876763873,4.739234524969986,0.4643341838467537,0.8857029449898166,char_shuffle,8
char_shuffle_sim_009.txt,-1.1916011712085948,0.9922504308264943,9.32104274889389,4.73733553127785,0.4724866288976247,0.8844595323444043,char_shuffle,9
char_shuffle_sim_010.txt,-1.1747958921140105,0.9922176131452447,9.305699653398948,4.737254061360996,0.4725185796433512,0.8828619805543532,char_shuffle,10
char_shuffle_sim_011.txt,-1.1694784282439667,0.9920420312140071,9.301818365286163,4.736778061527751,0.46868504283641677,0.8832057231328444,char_shuffle,11
char_shuffle_sim_012.txt,-1.1779099671240556,0.9917626360949691,9.303080413526217,4.733844607795242,0.47622582422773696,0.8844430451874333,char_shuffle,12
char_shuffle_sim_013.txt,-1.1688820384592127,0.9910101271347999,9.312272374517251,4.737734838185712,0.4757168577535276,0.8853195160285414,char_shuffle,13
char_shuffle_sim_014.txt,-1.1875549627580246,0.9909519021212347,9.335412000781524,4.738795028759342,0.4730814763108642,0.8823309362443925,char_shuffle,14
char_shuffle_sim_015.txt,-1.1806068514970152,0.9920245451432024,9.321751277309925,4.734879625645203,0.4755404661606205,0.8835021980108148,char_shuffle,15
char_shuffle_sim_016.txt,-1.180702989579162,0.9920350081128733,9.299266937113176,4.7370929125652355,0.4701785716846206,0.8835982254201186,char_shuffle,16
char_shuffle_sim_017.txt,-1.1750886757582817,0.9920042202441445,9.32427285156089,4.736248713970111,0.47046118335752024,0.8800435260599763,char_shuffle,17
char_shuffle_sim_018.txt,-1.1837123322269036,0.9927556636030477,9.319164498275061,4.73461313099941,0.46715154729748976,0.8819360931331648,char_shuffle,18
char_shuffle_sim_019.txt,-1.1855619624671092,0.9919776444336312,9.316744922890157,4.738969018476688,0.47110707314155037,0.8810990242114038,char_shuffle,19
char_shuffle_sim_020.txt,-1.1935154019514522,0.9920637367055791,9.31022938433762,4.735865183777916,0.47420403444315395,0.8838846156867531,char_shuffle,20
char_shuffle_sim_021.txt,-1.184168845444971,0.9918681453703998,9.315123079382936,4.737059986123252,0.4751075696054502,0.8852973395551618,char_shuffle,21
char_shuffle_sim_022.txt,-1.1911138137497754,0.992020344832061,9.310302544112096,4.733732639900917,0.47393466473308443,0.8825601363500226,char_shuffle,22
char_shuffle_sim_023.txt,-1.1803046176904295,0.9918258862059743,9.283022904466119,4.732774195177617,0.4719442976634711,0.885573663279325,char_shuffle,23
char_shuffle_sim_024.txt,-1.1937161018055082,0.992041759634322,9.340025222573235,4.736607211324553,0.4701692816970731,0.8832062927466984,char_shuffle,24
char_shuffle_sim_025.txt,-1.169390741178414,0.9919052654977771,9.314601889626976,4.7355376216593195,0.47491778284681213,0.8863068304759495,char_shuffle,25
char_shuffle_sim_026.txt,-1.1873210747612089,0.9916334751857967,9.3177671754427,4.7390655041654135,0.47011365693892715,0.8821208204227433,char_shuffle,26
char_shuffle_sim_027.txt,-1.1748068004938486,0.9920907741658908,9.316526544567289,4.7398469914061865,0.4660379341177958,0.8803155611924925,char_shuffle,27
char_shuffle_sim_028.txt,-1.1745696618824137,0.9916079008359058,9.323724087901924,4.736997209429144,0.4735910781355826,0.8851354960879102,char_shuffle,28
char_shuffle_sim_029.txt,-1.1833381463534334,0.9919887463205792,9.324055472016022,4.737754047761216,0.469842470702065,0.8867818361972664,char_shuffle,29
char_shuffle_sim_030.txt,-1.1844457979895902,0.9915676396706081,9.334106961169082,4.7385486691310685,0.46481637855675256,0.8809133912353205,char_shuffle,30
word_shuffle_sim_001.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,1
word_shuffle_sim_002.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,2
word_shuffle_sim_003.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,3
word_shuffle_sim_004.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,4
word_shuffle_sim_005.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,5
word_shuffle_sim_006.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,6
word_shuffle_sim_007.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,7
word_shuffle_sim_008.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.5180922899482105,0.47573478828452603,0.8810988080059418,word_shuffle,8
word_shuffle_sim_009.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,9
word_shuffle_sim_010.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,10
word_shuffle_sim_011.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,11
word_shuffle_sim_012.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,12
word_shuffle_sim_013.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,13
word_shuffle_sim_014.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,14
word_shuffle_sim_015.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,15
word_shuffle_sim_016.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,16
word_shuffle_sim_017.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,17
word_shuffle_sim_018.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,18
word_shuffle_sim_019.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,19
word_shuffle_sim_020.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,20
word_shuffle_sim_021.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948212,0.47573478828452603,0.8810988080059418,word_shuffle,21
word_shuffle_sim_022.txt,-3.858748029048624,0.9043418456709903,5.169390204937701,4.518092289948211,0.47573478828452603,0.8810988080059418,word_shuffle,22
