sura,aya,combined_score
1,1,0.9778683410126614
1,2,0.9852246556483586
1,3,0.8610084462090708
1,4,0.9148641194504852
1,5,0.9817689736295461
1,6,0.9354046583141483
1,7,0.9832228284921021
2,1,0.9795701572661314
2,2,0.9742747646718144
2,3,0.9576219323969684
2,4,0.9724089388653899
2,5,0.9893536947801986
2,6,0.9945769519762562
2,7,0.9732302205425873
2,8,0.9710923190545514
2,9,0.9816779923785452
2,10,0.985080479848989
2,11,0.9865656424917706
2,12,0.9827265532154323
2,13,0.9477829681407097
2,14,0.9487119995201437
2,15,0.977208569054532
2,16,0.9612077864600611
2,17,0.967027455594273
2,18,0.9544210123283323
2,19,0.9297058016275017
2,20,0.8912849927898105
2,21,0.9798379068057426
2,22,0.9055629204713709
2,23,0.9223134599060712
2,24,0.9709234353871778
2,25,0.7592110543671656
2,26,0.7202943092302677
2,27,0.9390829055286558
2,28,0.9790478432778439
2,29,0.9392127273905235
2,30,0.873056197182451
2,31,0.9455609358106302
2,32,0.9917478872216365
2,33,0.8927106094988815
2,34,0.9711569629795016
2,35,0.938336399869983
2,36,0.9343435420007471
2,37,0.9918514841948904
2,38,0.964630914974379
2,39,0.9640970357432472
2,40,0.9503164002857816
2,41,0.9473172605162704
2,42,0.9885069985167052
2,43,0.9780881875167746
2,44,0.9545980409008994
2,45,0.9931580198871751
2,46,0.980131526824481
2,47,0.9393368393987767
2,48,0.9175275154993652
2,49,0.9217116502768427
2,50,0.9502213418740999
2,51,0.9791265795549267
2,52,0.9752564949570035
2,53,0.9912735625530029
2,54,0.846310529035661
2,55,0.9788065724316138
2,56,0.9759465334515687
2,57,0.913560926021585
2,58,0.9038488566714937
2,59,0.9570731080269782
2,60,0.8520059614813491
2,61,0.5459373047022208
2,62,0.8617853996133874
2,63,0.9618704684658882
2,64,0.9838705784631134
2,65,0.9800657748892312
2,66,0.9636334974026766
2,67,0.9309513502955122
2,68,0.8794522175796801
2,69,0.9633537886080421
2,70,0.945614967872618
2,71,0.8986831002397409
2,72,0.9805671919200396
2,73,0.941985656765375
2,74,0.7511552059587274
2,75,0.9543739939241764
2,76,0.8898447994024055
2,77,0.9932069044891485
2,78,0.9966199799117461
2,79,0.8915023616669391
2,80,0.9171377764548235
2,81,0.978128616787511
2,82,0.9584609013039249
2,83,0.7621133429504272
2,84,0.9546029032067226
2,85,0.5873141717797964
2,86,0.9667684587053893
2,87,0.789672728054795
2,88,0.9802074309786466
2,89,0.8909116629239948
2,90,0.8884645653654287
2,91,0.8487662578883173
2,92,0.9823261788279418
2,93,0.8140299005678706
2,94,0.9545574412444795
2,95,0.9996185645436226
2,96,0.8891353865213063
2,97,0.9587751620875424
2,98,0.9570483005692079
2,99,0.9813718169695075
2,100,0.982905297814094
2,101,0.9255874155681225
2,102,0.5117453653470408
2,103,0.9836284349739899
2,104,0.9500242327033456
2,105,0.8808246388929701
2,106,0.9229950238837614
2,107,0.9206197400342406
2,108,0.9452786252987128
2,109,0.7923876689597024
2,110,0.9550480439848086
2,111,0.9585432720607747
2,112,0.936713923981346
2,113,0.7935831892275953
2,114,0.8501457336359262
2,115,0.9804982409458761
2,116,0.9666442125264723
2,117,0.989877420901458
2,118,0.887679001928665
2,119,0.99606447738675
2,120,0.8417337088451813
2,121,0.9304575541582822
2,122,0.9393368393987767
2,123,0.9326028915889548
2,124,0.9411688337020598
2,125,0.858956655373124
2,126,0.8122044775532176
2,127,0.9690629704470748
2,128,0.9511694254289027
2,129,0.9321057106621011
2,130,0.9626412962996935
2,131,0.9830085423630905
2,132,0.9650538740693148
2,133,0.8608267572048509
2,134,0.9653467167612099
2,135,0.9778090540029958
2,136,0.8029070338651614
2,137,0.9489727205900391
2,138,0.9848388304136972
2,139,0.9716271319299093
2,140,0.8310804710413178
2,141,0.9653467167612099
2,142,0.9268430242616653
2,143,0.6373834633026798
2,144,0.757058318672418
2,145,0.8146124240553942
2,146,0.9238168464423969
2,147,0.9747317414406405
2,148,0.9326189800751412
2,149,0.9606343106821174
2,150,0.7940450689690923
2,151,0.9096309219601275
2,152,0.972424288987273
2,153,0.9800657748892312
2,154,0.9820140874077634
2,155,0.972726302143415
2,156,0.982905297814094
2,157,0.9589460606847982
2,158,0.8930514461727451
2,159,0.9227595527821574
2,160,0.9395644139621224
2,161,0.9762160326192755
2,162,0.9921205401580406
2,163,0.9896811665214869
2,164,0.6432934932453384
2,165,0.8247361425203936
2,166,0.9647512349159507
2,167,0.9095445864615879
2,168,0.962578563378005
2,169,0.9739101934426175
2,170,0.9221336262918246
2,171,0.9521651523235739
2,172,0.9793543045443293
2,173,0.887961294716997
2,174,0.8497474779288758
2,175,0.9766888601707474
2,176,0.9751425426125742
2,177,0.536023182578841
2,178,0.6817758247497819
2,179,0.9813648004562661
2,180,0.9611478022757693
2,181,0.973614547868247
2,182,0.9459927093321175
2,183,0.9772663262291328
2,184,0.8211378350348701
2,185,0.65330179733239
2,186,0.9531844856771767
2,187,0.5244279387372319
2,188,0.9425215395448956
2,189,0.8572217402537177
2,190,0.9772631535504868
2,191,0.8174637195037879
2,192,0.9742530529892819
