sura,aya,iso_score,iso_is_anom
1,1,0.22783720370527294,0
1,2,0.23383867370022499,0
1,3,0.13249990471118311,0
1,4,0.1764367440662722,0
1,5,0.23101943983925427,0
1,6,0.19319424263768464,0
1,7,0.23220553192994237,0
2,1,0.22922558912713592,0
2,2,0.22490547223605772,0
2,3,0.21131966473385033,0
2,4,0.22338328347786057,0
2,5,0.23720725043355861,0
2,6,0.24146851701475613,0
2,7,0.22405330667890694,0
2,8,0.22230915168182808,0
2,9,0.230945215976335,0
2,10,0.2337210515331823,0
2,11,0.23493268555852287,0
2,12,0.23180065780851783,0
2,13,0.20329278505450382,0
2,14,0.20405071293154353,0
2,15,0.2272989447322037,0
2,16,0.2142450961914088,0
2,17,0.21899293130216202,0
2,18,0.20870827174506712,0
2,19,0.18854496899381795,0
2,20,0.15720028786618168,0
2,21,0.2294440259194953,0
2,22,0.16884858738331188,0
2,23,0.18251410717428312,0
2,24,0.22217137182361274,0
2,25,0.04945098193634401,0
2,26,0.017701703240177613,0
2,27,0.19619505073546323,0
2,28,0.2287994719895367,0
2,29,0.19630096304435402,0
2,30,0.1423287688636914,0
2,31,0.2014799940694149,0
2,32,0.23916049346984158,0
2,33,0.15836334249047612,0
2,34,0.22236188935331613,0
2,35,0.19558603253608015,0
2,36,0.19232855654845826,0
2,37,0.23924501125098607,0
2,38,0.21703777209263064,0
2,39,0.21660221974272004,0
2,40,0.20535962418728593,0
2,41,0.20291284876451837,0
2,42,0.23651649343042275,0
2,43,0.22801656039599755,0
2,44,0.20885269635492976,0
2,45,0.2403109160222987,0
2,46,0.22968356919392213,0
2,47,0.1964022167469477,0
2,48,0.17860961107577222,0
2,49,0.18202313532243497,0
2,50,0.20528207316312697,0
2,51,0.22886370704242087,0
2,52,0.2257063926896602,0
2,53,0.23877352740591662,0
2,54,0.12050896692029223,0
2,55,0.2286026369488079,0
2,56,0.2262693438304959,0
2,57,0.1753735654946051,0
2,58,0.16745021025392465,0
2,59,0.21087191958137452,0
2,60,0.12515544681196078,0
2,61,-0.12454321240429855,1
2,62,0.13313376336047233,0
2,63,0.21478572903444232,0
2,64,0.23273398300422576,0
2,65,0.22962992666555038,0
2,66,0.21622405339562684,0
2,67,0.1895611196862661,0
2,68,0.14754680695494227,0
2,69,0.21599585956383222,0
2,70,0.20152407487830998,0
2,71,0.1632358535844095,0
2,72,0.23003899551215323,0
2,73,0.19856318987972282,0
2,74,0.04287881422334994,0
2,75,0.20866991280228953,0
2,76,0.1560253411865602,0
2,77,0.24035079717472924,0
2,78,0.24313527157883452,0
2,79,0.1573776229160283,0
2,80,0.1782916517692994,0
2,81,0.2280495435198991,0
2,82,0.21200411676335973,0
2,83,0.051818743870909234,0
2,84,0.20885666296836586,0
2,85,-0.09078690261420608,1
2,86,0.21878163513060594,0
2,87,0.07430239719177134,0
2,88,0.22974549321177523,0
2,89,0.15689571573174643,0
2,90,0.1548993107818435,0
2,91,0.12251241352881426,0
2,92,0.23147402218611735,0
2,93,0.09417360249699747,0
2,94,0.20881957440428212,0
2,95,0.24558159382054667,0
2,96,0.1554465839136,0
2,97,0.21226049900050042,0
2,98,0.21085168142470423,0
2,99,0.2306954292153438,0
2,100,0.23194648228127673,0
2,101,0.18518508402532213,0
2,102,-0.15243787286533295,1
2,103,0.23253643609327568,0
2,104,0.20512126662413832,0
2,105,0.14866646314897858,0
2,106,0.18307014475088562,0
2,107,0.18113232717952732,0
2,108,0.20124967799932786,0
2,109,0.07651731570541664,0
2,110,0.20921982017910834,0
2,111,0.21207131706605598,0
2,112,0.19426237527608003,0
2,113,0.077492651049473,0
2,114,0.12363782526952694,0
2,115,0.22998274374937716,0
2,116,0.21868027210469249,0
2,117,0.2376345189746369,0
2,118,0.15425842798145795,0
2,119,0.24268207838051747,0
2,120,0.11677508012844606,0
2,121,0.18915826811877767,0
2,122,0.1964022167469477,0
2,123,0.1909084897341644,0
2,124,0.19789680458482567,0
2,125,0.1308260013339989,0
2,126,0.0926843756473541,0
2,127,0.22065355654172153,0
2,128,0.2060555437352684,0
