sura,aya,lof_score,lof_is_anom
1,1,-1.0,0
1,2,-0.9335664480161604,0
1,3,-1.0030914308414358,0
1,4,-1.0130724725172937,0
1,5,-1.007499400914854,0
1,6,-1.1187489957817567,0
1,7,-1.01262620349341,0
2,1,-1.0395757089980229,0
2,2,-1.1312958316601591,0
2,3,-1.1916846057913348,0
2,4,-1.0238787252795318,0
2,5,-1.2909905440980964,0
2,6,-1.0002729984466439,0
2,7,-1.2947783394483114,0
2,8,-1.2266735653851775,0
2,9,-1.4899328079116254,0
2,10,-1.0065171969925863,0
2,11,-1.1327300653706736,0
2,12,-1.0007682314042985,0
2,13,-1.0317015109599375,0
2,14,-1.15696155518534,0
2,15,-0.9554241079319594,0
2,16,-1.070568547859659,0
2,17,-0.9657793208227978,0
2,18,-1.0379550046465442,0
2,19,-1.0127040736440371,0
2,20,-1.0159483566401069,0
2,21,-0.9661471396256613,0
2,22,-0.9978670678814069,0
2,23,-1.0770872571535448,0
2,24,-1.112142062502165,0
2,25,-1.0220085229561435,0
2,26,-1.0165557666397425,0
2,27,-0.966907409374284,0
2,28,-1.0438088600534952,0
2,29,-1.117729335252184,0
2,30,-0.9779789089335391,0
2,31,-1.0182463211692507,0
2,32,-1.0161098278317184,0
2,33,-0.9930513306704529,0
2,34,-0.9791022298105181,0
2,35,-1.0959585198451185,0
2,36,-1.0252624450900207,0
2,37,-1.3692991891606308,0
2,38,-1.0085318183610177,0
2,39,-1.0174101984304253,0
2,40,-1.1406287619029944,0
2,41,-0.9984917149408364,0
2,42,-1.05431607175547,0
2,43,-1.1359990090634013,0
2,44,-1.1174074490579222,0
2,45,-1.0961299365746593,0
2,46,-1.2301171444540264,0
2,47,-1.0897500281114152,0
2,48,-1.1176075783425854,0
2,49,-1.016123379676815,0
2,50,-1.173203245084649,0
2,51,-1.0333584221027747,0
2,52,-0.9882279987848539,0
2,53,-1.0975642928419103,0
2,54,-0.9836261282617451,0
2,55,-0.9957586473233657,0
2,56,-1.0086383714588014,0
2,57,-1.0365504332870572,0
2,58,-1.0349591916622356,0
2,59,-1.1139450494349252,0
2,60,-1.0062262881982922,0
2,61,-0.9951029457376845,0
2,62,-1.0711029596618253,0
2,63,-1.0054884496121947,0
2,64,-1.0307764397127368,0
2,65,-1.0255197397179596,0
2,66,-1.0759943921313404,0
2,67,-1.0857250213131993,0
2,68,-1.2888311710681986,0
2,69,-0.9650759684922947,0
2,70,-1.0514524643451124,0
2,71,-0.9859718961504769,0
2,72,-1.0127784635441754,0
2,73,-1.088449046838862,0
2,74,-1.0255853869478524,0
2,75,-0.9771318102687058,0
2,76,-1.025320049460085,0
2,77,-1.0172026153385727,0
2,78,-0.9912515374432862,0
2,79,-0.9890052228373234,0
2,80,-1.0189984385790425,0
2,81,-1.0805928516914656,0
2,82,-1.0334337095372654,0
2,83,-1.2597815641441552,0
2,84,-1.0281551242638274,0
2,85,-1.2608691732088864,0
2,86,-1.031231216925627,0
2,87,-1.3610635620251237,0
2,88,-0.9640404164019187,0
2,89,-0.9882214484441894,0
2,90,-0.9848037622209102,0
2,91,-1.0006804892678038,0
2,92,-1.0355770242703883,0
2,93,-1.0345811660265238,0
2,94,-1.2610355952293397,0
2,95,-0.9920779765448675,0
2,96,-0.9995932326292944,0
2,97,-1.1476497518237054,0
2,98,-1.313662140662121,0
2,99,-0.9898086316126313,0
2,100,-1.023209588187449,0
2,101,-1.0091944712343537,0
2,102,-1.2434728278225746,0
2,103,-1.0095642544497996,0
2,104,-1.2609426230334266,0
2,105,-1.1361688258410845,0
2,106,-1.1786398247943723,0
2,107,-1.132203521878922,0
2,108,-1.0604418301607494,0
2,109,-1.4105434034659852,0
2,110,-1.0026900233476177,0
2,111,-1.0962343834403712,0
2,112,-1.1838597279936647,0
2,113,-1.0398319897453736,0
2,114,-1.0253147310089106,0
2,115,-1.1167871554042628,0
2,116,-1.1267877615285191,0
2,117,-0.964673618226298,0
2,118,-0.9831944460590298,0
2,119,-0.9948087102000869,0
2,120,-1.2261478949813713,0
2,121,-1.0780265449464852,0
2,122,-1.0897500281114152,0
2,123,-1.2379904523909553,0
2,124,-1.0425309633145616,0
2,125,-1.1040679682484484,0
2,126,-1.0632181308247353,0
2,127,-0.9770523844290645,0
2,128,-1.0222386877657619,0
2,129,-1.013995300766512,0
2,130,-0.9730880574592244,0
2,131,-1.0720920755299388,0
2,132,-0.9730122620840259,0
2,133,-0.9784552828212485,0
2,134,-1.0135543817503756,0
2,135,-1.02925940763614,0
2,136,-0.9653992092306254,0
2,137,-1.0166162769876337,0
2,138,-1.023244268318916,0
2,139,-0.9901184127283493,0
2,140,-0.9723345886305701,0
2,141,-1.0135543817503756,0
2,142,-0.9933258410533117,0
2,143,-0.9694161043567968,0
2,144,-1.0256146786859321,0
2,145,-0.9772837402186495,0
2,146,-1.2023097144107369,0
2,147,-1.199802464368653,0
2,148,-0.9901783014762445,0
2,149,-1.0781589600381676,0
2,150,-0.9862731973939297,0
2,151,-1.0444290484614855,0
2,152,-1.1148758911478365,0
2,153,-1.0255197397179596,0
2,154,-0.957228741045992,0
2,155,-1.0339210071234994,0
2,156,-1.023209588187449,0
2,157,-1.4751823081645965,0
2,158,-1.1172726569572675,0
2,159,-1.0535487600485112,0
2,160,-1.0898755932821345,0
2,161,-0.949871023935043,0
2,162,-1.039038848323774,0
2,163,-1.0269435474553217,0
2,164,-1.0794514049331936,0
2,165,-1.0126681762960916,0
2,166,-1.0415078976286647,0
2,167,-0.9979549689806287,0
2,168,-1.117329403318646,0
2,169,-1.2964570723861866,0
2,170,-1.0099312716816455,0
2,171,-0.9964981364339996,0
2,172,-1.0479649519711143,0
2,173,-1.0313391323926484,0
2,174,-0.9663154378428424,0
2,175,-0.984625231454799,0
2,176,-1.0142708879745326,0
2,177,-1.007528040801648,0
2,178,-1.0627143852987537,0
2,179,-0.9994086325424956,0
2,180,-0.9902390291114683,0
2,181,-1.4258514380069593,0
2,182,-1.0093873593641345,0
2,183,-0.9944432141508017,0
2,184,-1.030403177922211,0
2,185,-0.9850520533898195,0
2,186,-0.9982569666324087,0
2,187,-1.0365274184106623,0
2,188,-0.9939467434090974,0
2,189,-0.9637654169717749,0
2,190,-1.0026633545497865,0
2,191,-1.0053263995398933,0
2,192,-0.994215058823368,0
2,193,-0.9828347566880783,0
2,194,-1.0088728037395363,0
2,195,-1.0410948461165581,0
2,196,-1.1678415169772465,0
2,197,-0.9693090536245302,0
2,198,-1.0175268308488712,0
2,199,-1.0667882430876392,0
2,200,-0.9863412736885417,0
2,201,-1.2225294093499506,0
2,202,-0.9645469197378178,0
2,203,-1.1057169627668462,0
2,204,-1.0052881456424931,0
2,205,-1.0411726876118834,0
2,206,-0.9728465146521597,0
2,207,-1.0888008395481132,0
2,208,-1.1276074954468807,0
2,209,-1.0667882430876392,0
2,210,-0.9822109241908465,0
2,211,-0.9903134637660219,0
2,212,-0.9969763970309931,0
2,213,-1.0360687293249098,0
2,214,-0.9746882206192037,0
2,215,-0.9898958524810519,0
2,216,-1.0971572571518244,0
2,217,-1.106888551676084,0
2,218,-1.0609143857949097,0
2,219,-1.0856126826345536,0
